Network of 28-10-90 with 546 segments - SE corner region
  2350.  2350.  20.	box dimensions in microns						
  47    47    1		"number of tissue points in x,y,z directions"					
  100			outer bound distance (100. in test case)				
  50				max. segment length.  (5. in test case)			
  8				"nodsegm, max. allowed number of segments per node"			
  445				total number of segments 			
name	type	from	to	diam		flow		HD	
418	5	393	394	32.6357	1.62E+02	0.4	
419	5	394	395	32.6355	1.62E+02	0.4	
420	5	395	374	32.6358	1.62E+02	0.4	
421	5	113	396	7.2566	2.34E+00	0.4	
422	5	396	382	7.2567	2.34E+00	0.4	
423	5	397	398	37.805	1.59E+02	0.4	
424	5	398	399	37.8051	1.59E+02	0.4	
425	5	399	382	37.8052	1.59E+02	0.4	
426	5	192	400	38.4845	1.59E+02	0.4	
427	5	400	397	38.4847	1.59E+02	0.4	
428	5	166	401	39.4641	1.59E+02	0.4	
429	5	401	192	39.464	1.59E+02	0.4	
430	5	193	402	35.6564	1.58E+02	0.4	
431	5	402	403	35.6564	1.58E+02	0.4	
432	5	403	166	35.6564	1.58E+02	0.4	
433	5	177	404	34.9266	1.58E+02	0.4	
434	5	404	193	34.9267	1.58E+02	0.4	
435	5	405	406	39.6233	1.58E+02	0.4	
436	5	406	177	39.6234	1.58E+02	0.4	
437	5	181	407	6.7322	5.02E-01	0.4	
438	5	407	405	6.732	5.02E-01	0.4	
439	5	408	409	39.0958	1.57E+02	0.4	
440	5	409	410	39.0966	1.57E+02	0.4	
441	5	410	405	39.0974	1.57E+02	0.4	
442	5	211	411	10.6031	3.58E+00	0.4	
443	5	411	316	10.6035	3.58E+00	0.4	
444	5	296	412	48.2903	3.99E+01	0.4	
445	5	244	412	47.9903	-3.99E+01	0.4	
412	total	number	of	nodes			
name	x	y	z				
1	1166	2340	10				
2	1175	2318	10				
3	1181	2246	10				
4	1179	2168	10				
5	1178	2091	10				
6	1155	1996	10				
7	1129	1903	10				
8	1130	1861	10				
9	1129	1848	10				
10	1129	1820	10
11	1129	1792	10
12	1125	1763	10
13	1126	1704	10
14	1132	1635	10
15	1164	1600	10
16	1201	1571	10
17	1212	1463	10
18	1238	1433	10
19	1278	1419	10
20	1304	1376	10
21	1317	1364	10
22	1324	1348	10
23	1340	1299	10
24	1328	1229	10
25	1267	1171	10
26	1226	1112	10
27	1181	1053	10
28	1159	1000	10
29	1116	943	10
30	1121	865	10
31	1084	767	10
32	1051	706	10
33	1018	644	10
34	988	562	10
35	956	450	10
36	942	378	10
37	911	279	10
38	934	224	10
39	1012	163	10
40	1081	169	10
41	1116	166	10
42	1144	149	10
43	1160	103	10
44	1184	123	10
45	1204	166	10
46	1104	215	10
47	1131	258	10
48	1175	289	10
49	1226	314	10
50	1256	361	10
51	1293	431	10
52	996	296	10
53	1039	289	10
54	1085	931	10
55	1043	912	10
56	1365	1211	10
57	1375	1191	10
58	1411	1191	10
59	1424	1155	10
60	1500	1130	10
61	1464	1085	10
62	1444	1022	10
63	1368	1386	10
64	1412	1452	10
65	1453	1518	10
66	1505	1570	10
67	1281	1606	10
68	1332	1596	10
69	1420	1557	10
70	1551	1583	10
71	1599	1617	10
72	1632	1592	10
73	1659	1578	10
74	1700	1613	10
75	1790	1639	10
76	1879	1666	10
77	1056	1572	10
78	1007	1517	10
79	994	1494	10
80	991	1455	10
81	996	1408	10
82	1003	1360	10
83	982	1305	10
84	928	1251	10
85	874	1197	10
86	781	1131	10
87	686	1067	10
88	571	1015	10
89	453	961	10
90	1236	1806	10
91	1343	1796	10
92	1382	1765	10
93	1494	1776	10
94	1605	1812	10
95	230	411	10
96	288	434	10
97	343	477	10
98	400	482	10
99	288	458	10
100	275	487	10
101	265	496	10
102	234	523	10
103	1488	1029	10
104	1546	1083	10
105	1643	1113	10
106	1063	1892	10
107	995	1874	10
108	908	1818	10
109	818	1764	10
